condition,subjID,phase,trial,trial_type,target,correct_order,correct,wrong,strategy,strategy_coded,lang1,lang1_rating,lang2,lang2_rating,lang3,lang3_rating,lang4,lang4_rating,response,accuracy,catch_accuracy,language,correct_choice,wrong_choice
shapes,2LF13ZN0,test,0,ident-post,pac-right,2,pac-right,pac-right-triangle,I went with what appeared to be the correct judgments . It was fun,no_strategy,english,NA,NA,NA,NA,NA,NA,NA,2,1,1,English,NA,NA
shapes,2LF13ZN0,test,1,ident-post,scalene-trefoil,1,scalene-trefoil,scalene-trefoil-trapeze,I went with what appeared to be the correct judgments . It was fun,no_strategy,english,NA,NA,NA,NA,NA,NA,NA,1,1,1,English,NA,NA
shapes,2LF13ZN0,test,0,post-diff,circle-triangle,1,circle-triangle-octagon,pentagon-ring-semicircle,I went with what appeared to be the correct judgments . It was fun,no_strategy,english,NA,NA,NA,NA,NA,NA,NA,1,1,1,English,NA,NA
shapes,2LF13ZN0,test,1,post-pre,cross-right,1,cross-right-hexagon,hexagon-cross-right,I went with what appeared to be the correct judgments . It was fun,no_strategy,english,NA,NA,NA,NA,NA,NA,NA,1,1,1,English,NA,NA
shapes,2LF13ZN0,test,2,post-pre,heart-square,2,heart-square-pac,pac-heart-square,I went with what appeared to be the correct judgments . It was fun,no_strategy,english,NA,NA,NA,NA,NA,NA,NA,2,1,1,English,NA,NA
shapes,2LF13ZN0,test,3,post-pre,cross-ellipse,2,cross-ellipse-polygon,polygon-cross-ellipse,I went with what appeared to be the correct judgments . It was fun,no_strategy,english,NA,NA,NA,NA,NA,NA,NA,2,1,1,English,NA,NA
shapes,2LF13ZN0,test,4,post-pre,right-semicircle,1,right-semicircle-parallelogram,parallelogram-right-semicircle,I went with what appeared to be the correct judgments . It was fun,no_strategy,english,NA,NA,NA,NA,NA,NA,NA,1,1,1,English,NA,NA
shapes,2LF13ZN0,test,5,post-pre,star-trefoil,1,star-trefoil-pentagon,pentagon-star-trefoil,I went with what appeared to be the correct judgments . It was fun,no_strategy,english,NA,NA,NA,NA,NA,NA,NA,1,1,1,English,NA,NA
shapes,2LF13ZN0,test,6,post-pre,heart-octagon,2,heart-octagon-triangle,triangle-heart-octagon,I went with what appeared to be the correct judgments . It was fun,no_strategy,english,NA,NA,NA,NA,NA,NA,NA,2,1,1,English,NA,NA
shapes,2LF13ZN0,test,7,post-pre,circle-square,2,circle-square-scalene,scalene-circle-square,I went with what appeared to be the correct judgments . It was fun,no_strategy,english,NA,NA,NA,NA,NA,NA,NA,2,1,1,English,NA,NA
shapes,2LF13ZN0,test,8,pre-diff,kite-parallelogram,1,star-kite-parallelogram,pentagon-arrow-right,I went with what appeared to be the correct judgments . It was fun,no_strategy,english,NA,NA,NA,NA,NA,NA,NA,1,1,1,English,NA,NA
shapes,2LF13ZN0,test,9,post-pre,kite-trapeze,2,kite-trapeze-heart,heart-kite-trapeze,I went with what appeared to be the correct judgments . It was fun,no_strategy,english,NA,NA,NA,NA,NA,NA,NA,2,1,1,English,NA,NA
shapes,2LF13ZN0,test,10,post-pre,diamond-semicircle,1,diamond-semicircle-heart,heart-diamond-semicircle,I went with what appeared to be the correct judgments . It was fun,no_strategy,english,NA,NA,NA,NA,NA,NA,NA,1,1,1,English,NA,NA
shapes,2LF13ZN0,test,11,ident-pre,hexagon-kite,1,hexagon-kite,right-hexagon-kite,I went with what appeared to be the correct judgments . It was fun,no_strategy,english,NA,NA,NA,NA,NA,NA,NA,1,1,1,English,NA,NA
shapes,2LF13ZN0,test,12,post-diff,circle-trapeze,2,circle-trapeze-pac,crescent-heart-circle,I went with what appeared to be the correct judgments . It was fun,no_strategy,english,NA,NA,NA,NA,NA,NA,NA,2,1,1,English,NA,NA
shapes,2LF13ZN0,test,13,ident-post,rectangle-ring,2,rectangle-ring,rectangle-ring-quatrefoil,I went with what appeared to be the correct judgments . It was fun,no_strategy,english,NA,NA,NA,NA,NA,NA,NA,2,1,1,English,NA,NA
shapes,2LF13ZN0,test,14,post-pre,kite-octagon,1,kite-octagon-diamond,diamond-kite-octagon,I went with what appeared to be the correct judgments . It was fun,no_strategy,english,NA,NA,NA,NA,NA,NA,NA,1,1,1,English,NA,NA
shapes,2LF13ZN0,test,15,pre-diff,circle-pentagon,1,pac-circle-pentagon,square-triangle-arrow,I went with what appeared to be the correct judgments . It was fun,no_strategy,english,NA,NA,NA,NA,NA,NA,NA,1,1,1,English,NA,NA
shapes,2LF13ZN0,test,16,ident-diff,hexagon-right,1,hexagon-right,quatrefoil-ellipse-scalene,I went with what appeared to be the correct judgments . It was fun,no_strategy,english,NA,NA,NA,NA,NA,NA,NA,1,1,1,English,NA,NA
shapes,2LF13ZN0,test,17,ident-pre,diamond-triangle,1,diamond-triangle,hexagon-diamond-triangle,I went with what appeared to be the correct judgments . It was fun,no_strategy,english,NA,NA,NA,NA,NA,NA,NA,1,1,1,English,NA,NA
shapes,2LF13ZN0,test,18,ident-pre,octagon-triangle,2,octagon-triangle,diamond-octagon-triangle,I went with what appeared to be the correct judgments . It was fun,no_strategy,english,NA,NA,NA,NA,NA,NA,NA,2,1,1,English,NA,NA
shapes,2LF13ZN0,test,19,post-pre,parallelogram-triangle,1,parallelogram-triangle-ring,ring-parallelogram-triangle,I went with what appeared to be the correct judgments . It was fun,no_strategy,english,NA,NA,NA,NA,NA,NA,NA,1,1,1,English,NA,NA
