subjID,condition,phase,target,correct_choice,wrong_choice,correct_order,trial_type,response,accuracy,catch_accuracy
2019-04-25-092321,words,test,ne_to,ye_ne_to,ne_to_ye,1,post-pre,1,1,0.933333333333333
2019-04-25-092321,words,test,je_ke,je_ke,ya_je_ke,2,ident-pre,2,1,0.933333333333333
2019-04-25-092321,words,test,bo_mo,thu_bo_mo,bo_mo_thu,1,post-pre,1,1,0.933333333333333
2019-04-25-092321,words,test,ta_bu,ta_bu,ta_bu_re,1,ident-post,1,1,0.933333333333333
2019-04-25-092321,words,test,ni_bu,ni_bu,yu_ju_yi,1,ident-diff,1,1,0.933333333333333
2019-04-25-092321,words,test,ke_ye,jo_ke_ye,ke_ye_jo,1,post-pre,2,0,0.933333333333333
2019-04-25-092321,words,test,ne_me,bu_ne_me,ne_me_bu,1,post-pre,2,0,0.933333333333333
2019-04-25-092321,words,test,ra_ta,ra_ta,ra_ta_ja,1,ident-post,1,1,0.933333333333333
2019-04-25-092321,words,test,yu_ta,yu_ta,bo_yu_ta,1,ident-pre,1,1,0.933333333333333
2019-04-25-092321,words,test,ne_tho,ne_tho,wa_ne_tho,2,ident-pre,2,1,0.933333333333333
2019-04-25-092321,words,test,je_ja,ro_je_ja,je_ja_ro,1,post-pre,2,0,0.933333333333333
2019-04-25-092321,words,test,me_thu,me_thu_ni,te_no_bo,2,post-diff,2,1,0.933333333333333
2019-04-25-092321,words,test,ro_te,na_ro_te,ro_te_na,2,post-pre,2,1,0.933333333333333
2019-04-25-092321,words,test,wa_tho,wa_tho_tha,yi_ja_ju,1,post-diff,1,1,0.933333333333333
2019-04-25-092321,words,test,te_ye,thu_te_ye,ro_me_yi,1,pre-diff,1,1,0.933333333333333
2019-04-25-092321,words,test,ke_to,ke_to_yu,the_ju_ko,1,post-diff,1,1,0.933333333333333
2019-04-25-092321,words,test,yu_bo,ta_yu_bo,yu_bo_ta,2,post-pre,2,1,0.933333333333333
2019-04-25-092321,words,test,tha_we,ji_tha_we,tha_we_ji,2,post-pre,2,1,0.933333333333333
2019-04-25-092321,words,test,wa_ro,ne_wa_ro,wa_ro_ne,1,post-pre,2,0,0.933333333333333
2019-04-25-092321,words,test,bo_ro,bo_ro,na_ti_ke,2,ident-diff,2,1,0.933333333333333
2019-04-25-092321,words,test,je_yi,bo_je_yi,je_yi_bo,2,post-pre,2,1,0.933333333333333
2019-04-25-092321,words,test,wa_ju,ra_wa_ju,wa_ju_ra,1,post-pre,2,0,0.933333333333333
2019-04-25-092321,words,test,re_to,ke_re_to,re_to_ke,1,post-pre,2,0,0.933333333333333
2019-04-25-092321,words,test,re_mo,te_re_mo,we_ju_te,2,pre-diff,2,1,0.933333333333333
2019-04-25-092321,words,test,bo_thu,bu_bo_thu,tho_je_me,2,pre-diff,2,1,0.933333333333333
2019-04-25-092321,words,test,me_na,me_na,me_na_thi,2,ident-post,1,0,0.933333333333333
2019-04-25-092321,words,test,ke_ra,me_ke_ra,ke_ra_me,2,post-pre,2,1,0.933333333333333
2019-04-25-092321,words,test,me_ya,the_me_ya,me_ya_the,2,post-pre,2,1,0.933333333333333
2019-04-25-092321,words,test,me_re,ro_me_re,me_re_ro,1,post-pre,2,0,0.933333333333333
2019-04-25-092321,words,test,thu_ye,mo_thu_ye,thu_ye_mo,1,post-pre,2,0,0.933333333333333
2019-04-25-092321,words,test,thu_te,yo_thu_te,thu_te_yo,1,post-pre,2,0,0.933333333333333
2019-04-25-092321,words,test,ne_ri,mo_ne_ri,ne_ri_mo,1,post-pre,1,1,0.933333333333333
2019-04-25-092321,words,test,we_thi,jo_we_thi,we_thi_jo,1,post-pre,2,0,0.933333333333333
2019-04-25-092321,words,test,ri_ya,we_ri_ya,ri_ya_we,1,post-pre,2,0,0.933333333333333
2019-04-25-092321,words,test,yo_re,yo_re,thi_to_bo,1,ident-diff,1,1,0.933333333333333
2019-04-25-092321,words,test,ra_mo,ke_ra_mo,ra_mo_ke,2,post-pre,2,1,0.933333333333333
2019-04-25-092321,words,test,yu_ro,ni_yu_ro,yu_ro_ni,2,post-pre,2,1,0.933333333333333
2019-04-25-092321,words,test,yo_bo,ta_yo_bo,yo_bo_ta,1,post-pre,2,0,0.933333333333333
2019-04-25-092321,words,test,re_ro,wa_re_ro,re_ro_wa,2,post-pre,2,1,0.933333333333333
2019-04-25-092321,words,test,thu_ju,the_thu_ju,thu_ju_the,2,post-pre,2,1,0.933333333333333
2019-04-25-093635,shapes,test,arrow_scalene,cross_arrow_scalene,arrow_scalene_cross,1,post-pre,2,0,1
2019-04-25-093635,shapes,test,arrow_heart,arrow_heart,arrow_heart_rectangle,1,ident-post,1,1,1
2019-04-25-093635,shapes,test,pac_polygon,pac_polygon_heart,quatrefoil_cross_rectangle,2,post-diff,2,1,1
2019-04-25-093635,shapes,test,hexagon_parallelogram,octagon_hexagon_parallelogram,hexagon_parallelogram_octagon,2,post-pre,1,0,1
2019-04-25-093635,shapes,test,octagon_parallelogram,square_octagon_parallelogram,octagon_parallelogram_square,1,post-pre,2,0,1
2019-04-25-093635,shapes,test,right_rectangle,crescent_right_rectangle,right_rectangle_crescent,2,post-pre,1,0,1
2019-04-25-093635,shapes,test,crescent_rectangle,circle_crescent_rectangle,crescent_rectangle_circle,2,post-pre,2,1,1
